"question","answer","category"
"What is the Jupiter All-in-1 Savings Account?","The All-in-1 Savings Account on Jupiter powered by Federal Bank helps you manage your money better with faster payments, smart saving tools, and investment insights—all in one place.",Account
"How do I open a Jupiter Savings Account?","You can open your Jupiter digital account by following a few simple steps: 1. Install the Jupiter app 2. Tap 'Open an all-in-1 Savings Account' while selecting a Jupiter experience 3. Complete your video KYC",Account
"Do I earn Jewels for making payments?","Yes! You earn up to 1% cashback as Jewels on: • UPI payments • Debit Card spends (online & offline) • Investments in Digital Gold",Rewards
"Can I use my Jupiter Debit Card outside India?","Absolutely. You can spend in over 120 countries with 0% forex fee on international transactions using your Jupiter Debit Card.",Card
"Do I earn Jewels on International payments?","Yes, you also earn up to 1% cashback on online and offline international spends.",Rewards
"What payment modes are available with the Jupiter account?","You can make superfast payments with UPI, IMPS, and debit card—whether it's for recharges, bills, or merchant transactions.",Payments
"Can I invest using my Jupiter account?","Yes! You can invest in Mutual Funds and Digital Gold with up to 1.5% extra returns on curated mutual fund plans.",Investments
"What additional benefits do I get with the Savings Account?","You earn up to 1% cashback as Jewels on: • Free cheque book • Free IMPS transfers • ATM withdrawals",Account
"How is this Salary account different then?","Our Salary Account can also be opened by an employee and does not necessarily need an employer to open one for you.",Salary Account
"Why should I switch to Salary account?","It's your Salary Account with extra benefits. Get the most out of your salary. Salary account is an upgraded version of the Basic account. Receive your monthly salary in your new Salary Account to earn maximum rewards on Jupiter, free credit & debit card, Mini Loans starting from 0% interest.",Salary Account
"How do I open a Salary account?","To open a Salary account, follow these easy steps: 1. Download the Jupiter app and create your account 2. Complete your video verification / full KYC 3. Submit your company's name and verify your work email address 4. Share your new account details with HR and make sure to get your next salary in your new Salary Account within 60 days. That's it! Once your salary is credited, you'll automatically be upgraded to a Salary account.",Salary Account
"I already have a Savings Account on the Jupiter app. How do I upgrade to a Salary account?","To upgrade to a Salary account, please go to 'Settings' on the Jupiter app and follow 3 simple steps. Currently open to select few.",Salary Account
"Who all can open a Salary account on Jupiter?","To open a Salary account, please ensure that your in-hand salary is more ₹20,000. However, this is negotiable for teams. Please connect with us to learn more about the Salary account.",Salary Account
